b,r,c
"(:Blog {path: /blogs/posts/a-list-of-materials-used-in-lippan-kaam, title: The Ingredients Behind Lippan Kaam})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/adarsh-artcan-collection, title: Explore the ArtCan Collection: Authentic Kerala Mural Art by Adarsh})"
"(:Blog {path: /blogs/posts/tholu-bommalata-the-puppeteers-of-andhra-pradesh, title: Tholu Bommalata - The Puppeteers of Andhra Pradesh})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/laila-chitrakar, title: Laila Chitrakar})"
"(:Blog {path: /blogs/posts/visit-kutch-s-colourful-craft-village-nirona, title: Visit Kutch’s colourful craft village Nirona})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/soof, title: Soof})"
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/daya-ben, title: Daya Ben})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kamlesh-parmar, title: Kamlesh Parmar})"
"(:Blog {path: /blogs/posts/kantha-the-embroidered-threads-of-bengal, title: Kantha – the embroidered threads of Bengal})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kamlesh-parmar, title: Kamlesh Parmar})"
"(:Blog {path: /blogs/posts/bhil-art, title: Bhil Art- Uniqueness in Simplicity.})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kamlesh-parmar, title: Kamlesh Parmar})"
"(:Blog {path: /blogs/posts/signature-patterns-in-gond-art, title: Signature Patterns in Gond Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kamlesh-parmar, title: Kamlesh Parmar})"
"(:Blog {path: /blogs/posts/traversing-india-s-folk-and-tribal-legacies, title: Traversing India’s Folk and Tribal Legacies})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kamlesh-parmar, title: Kamlesh Parmar})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/ranjeet, title: Ranjeet Jha})"
"(:Blog {path: /blogs/posts/from-persia-to-india-the-enduring-legacy-of-ganjifa-indias-oldest-card-game, title: From Persia To India: The Enduring Legacy Of Ganjifa, India's Oldest Card Game})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kartik-chauhan, title: Kartik Chauhan})"
"(:Blog {path: /blogs/posts/chinese-new-year-the-year-of-ox, title: Chinese New Year- The Year of Ox})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/chinese-new-year-year-of-the-ox-paintings, title: Chinese new Year- Year of the Ox paintings})"
"(:Blog {path: /blogs/posts/bandhani-print-india, title: Bandhani Print: The Art of Tie-Dye in India})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/bandhini, title: Bandhani})"
"(:Blog {path: /blogs/posts/hampi-the-enigmatic-marvel-of-india, title: HAMPI:  THE ENIGMATIC MARVEL OF INDIA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/bandhini, title: Bandhani})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/thewa-craft, title: Thewa Craft})"
"(:Blog {path: /blogs/posts/symbolism-in-indian-tribal-art-forms, title: Symbolism In Indian Tribal Art Forms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/thewa-craft, title: Thewa Craft})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/thewa-craft, title: Thewa Craft})"
"(:Blog {path: /blogs/posts/indian-textile-art-embroidery-for-your-home-decor, title: Indian Textile Art & Embroidery for Your Home Decor})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/delhi, title: Delhi})"
"(:Blog {path: /blogs/posts/molela-terracotta-craft, title: Molela Terracotta: A Rajasthani Craft})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kailash-devi, title: Kailash Devi})"
"(:Blog {path: /blogs/posts/warli-paintings-different-types-styles, title: WARLI PAINTINGS, DIFFERENT TYPES & STYLES})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/godhana, title: Godhana})"
"(:Blog {path: /blogs/posts/motifs-and-math-geometric-shapes-in-warli-art, title: Motifs and Math: Geometric Shapes in Warli Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/godhana, title: Godhana})"
"(:Blog {path: /blogs/posts/a-list-of-materials-used-in-lippan-kaam, title: The Ingredients Behind Lippan Kaam})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/jijulal-artcan-collection, title: Experience the Heritage of Kerala Mural Art by V.M. Jijulal})"
"(:Blog {path: /blogs/posts/from-persia-to-india-the-enduring-legacy-of-ganjifa-indias-oldest-card-game, title: From Persia To India: The Enduring Legacy Of Ganjifa, India's Oldest Card Game})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kaluram-meghvanshi, title: Kaluram Meghvanshi})"
"(:Blog {path: /blogs/posts/the-city-of-barmer-all-you-need-to-know, title: The City of Barmer: All You Need To Know})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/baskaran-natarajan, title: Baskaran Natarajan})"
"(:Blog {path: /blogs/posts/get-your-diy-on-5-indian-crafts-to-cure-boredom, title: Get Your DIY On: 5 Indian Crafts to Cure Boredom})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/phad/, title: Phad Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/ftlo-art-visit-this-west-bengal-village, title: FTLO art, visit this West Bengal village})",[:RELATED_COLLECTION {overlap: 5}],"(:Collection {path: /collections/phad/, title: Phad Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/storytelling-through-indian-tribal-and-folk-arts, title: Storytelling through Indian Tribal and Folk Arts})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tholu-bommalata%20, title: Tholu Bommalata})"
"(:Blog {path: /blogs/posts/exploring-the-different-styles-of-kalamkari-art, title: Exploring the Different Styles of Kalamkari Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tholu-bommalata%20, title: Tholu Bommalata})"
"(:Blog {path: /blogs/posts/themes-and-symbolism-in-kalamkari-art-a-cultural-and-historical-perspective, title: Themes and Symbolism in Kalamkari Art: A Cultural and Historical Perspective})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/tholu-bommalata%20, title: Tholu Bommalata})"
"(:Blog {path: /blogs/posts/storytelling-in-tribal-and-folk-art-forms, title: Storytelling in Tribal and Folk Art Forms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/tholu-bommalata%20, title: Tholu Bommalata})"
"(:Blog {path: /blogs/posts/the-pioneering-women-artists-of-bhil-art, title: The Pioneering Women of Bhil Art})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/tholu-bommalata%20, title: Tholu Bommalata})"
"(:Blog {path: /blogs/posts/the-flourishing-strokes-of-kalighat-a-legacy-in-lines-and-colours, title: The Flourishing Strokes of Kalighat: A Legacy in Lines and Colours})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/kalighat, title: Kalighat Paintings and Art Collection})"
"(:Blog {path: /blogs/posts/block-printing-the-rarity-of-fabrics-made-by-hand, title: Block Printing: The Rarity of Fabrics Made by Hand})",[:RELATED_COLLECTION {overlap: 4}],"(:Collection {path: /collections/gond-art, title: Gond Art and Paintings})"
"(:Blog {path: /blogs/posts/mapping-indias-folk-music-styles, title: India's Folk Music Styles: A Map})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/gond-art, title: Gond Art and Paintings})"
"(:Blog {path: /blogs/posts/the-tree-of-life-in-traditional-indian-arts, title: The Tree of Life in Traditional Indian Arts})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/gond-art, title: Gond Art and Paintings})"
"(:Blog {path: /blogs/posts/madhubani-paintings-an-enduring-legacy-of-mithila, title: MADHUBANI PAINTINGS: AN ENDURING LEGACY OF MITHILA})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/gond-art, title: Gond Art and Paintings})"
"(:Blog {path: /blogs/posts/symbolism-in-indian-tribal-art-forms, title: Symbolism In Indian Tribal Art Forms})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/gond-art, title: Gond Art and Paintings})"
"(:Blog {path: /blogs/posts/wedding-gift-ideas-inspired-by-traditional-indian-art, title: Wedding Gift Ideas Inspired by Traditional Indian Art})",[:RELATED_COLLECTION {overlap: 3}],"(:Collection {path: /collections/gond-art, title: Gond Art and Paintings})"
